VARIACIONS INTERANUALS MERCAT DOMÈSTIC;;;;;;;
;;;;;;;
% var. Interanual 21/20;;;;;;;
MERCAT DOMÈSTIC;VIATGERS;PERNOCTACIONS;;;;;
Establiments hotelers;-54,6%;-57,9%;;;;;
Càmpings;320,5%;436,9%;;;;;
Turisme Rural;126,3%;193,4%;;;;;
;;;;;;;
% var. Interanual 21/19;;;;;;;
MERCAT DOMÈSTIC;VIATGERS;PERNOCTACIONS;;;;;
Establiments hotelers;-54,6%;-57,9%;;;;;
Càmpings;-33,7%;-14,8%;;;;;
Turisme Rural;-70,5%;-63,4%;;;;;
;;;;;;;
MERCAT DOMÈSTIC;ESTADA MITJANA;;;;;;
Hotels;2,0;;;;;;
Càmpings;2,4;;;;;;
Turisme Rural;2,4;;;;;;
;;;;;;;
;;;;;;;
Font: Elaboració pròpia del LABturisme en base a dades de l'Enquesta d'ocupació en allotjaments de l'INE.;;;;;;;
;;;;;;;
