VARIACIONS INTERANUALS MERCAT ESTRANGER;;;;;;;
% var. Interanual 21/20;;;;;;;
MERCAT ESTRANGER;VIATGERS;PERNOCTACIONS;;;;;
Establiments hotelers;-89,2%;-87,9%;;;;;
Càmpings;-43,2%;-23,5%;;;;;
Turisme Rural;-69,1%;-92,8%;;;;;
;;;;;;;
% var. Interanual 21/19;;;;;;;
MERCAT ESTRANGER;VIATGERS;PERNOCTACIONS;;;;;
Establiments hotelers;-89,2%;-87,9%;;;;;
Càmpings;-94,7%;-95,7%;;;;;
Turisme Rural;-99,0%;-98,5%;;;;;
;;;;;;;
MERCAT ESTRANGER;ESTADA MITJANA;;;;;;
Hotels;2,5;;;;;;
Càmpings;3,7;;;;;;
Turisme Rural;3,1;;;;;;
;;;;;;;
;;;;;;;
Font: Elaboració pròpia del LABturisme en base a dades de l'Enquesta d'ocupació en allotjaments de l'INE.;;;;;;;
;;;;;;;
