EVOLUCIÓ OCUPACIÓ Càmpings_21;;;;;;
en %;Ocupació % per parcel·les;;;;;
;Càmpings_21;Càmpings_20;Càmpings_19;;;
Gener;19,1;27,0;27,8;;;
Febrer;23,0;37,8;28,3;;;
Març;33,7;41,5;38,1;;;
Abril;0,0;0,0;43,7;;;
Maig;0,0;nd;45,1;;;
Juny;0,0;42,2;51,7;;;
Juliol;0,0;45,5;57,2;;;
Agost;0,0;46,3;62,5;;;
Setembre;0,0;37,9;49,3;;;
Octubre;0,0;40,3;43,6;;;
Novembre;0,0;30,0;37,2;;;
Desembre;0,0;26,3;32,0;;;
;;;;;;
Font: Elaboració pròpia del LABturisme en base a dades de l'Enquesta d'ocupació en allotjaments de l'INE.;;;;;;
;;;;;;
;;;;;;
